brand,model,version,year,segment,comment,label
hyundai,accent,,2024,sedan,mẫu cũ đẹp mẫu xấu,negative
geely,coolray,flagship,2025,suv,tiếng máy êm_ru,positive
geely,coolray,flagship,2025,suv,động_cơ mạnh_mẽ,positive
vinfast,vf 6,eco,2025,suv,ế,negative
hyundai,accent,,2024,sedan,ngon_bổ rẻ elantra,positive
mitsubishi,attrage,cvt,2025,sedan,xe nhật khách_hàng tin_tưởng,positive
honda,city,1.5 rs,2025,sedan,chê gạt xấu đồng_hồ thiện accsent ngon nghĩa,neutral
nissan,almera,,2025,sedan,almera đi đi trăm km gia_đình khỏe mệt_mỏi xe êm_cách âm_rẻ điều_hòa dễ_chịu tiết_kiệm xăng bền_bì khung gầm vỏ ăn_đứt phân_khúc,positive
honda,city,1.5 rs,2025,sedan,xe ồn chẳng hỏng,neutral
byd,atto 2,,2025,suv,xe byd điện tạm_thời tập khách_hàng giàu_có garage xe_hơi mấy giàu đi xe_điện trạm sạc mua byd thành quen_thuộc,negative
geely,coolray,flagship,2025,suv,tiếng đóng_cửa,positive
vinfast,vf 6,plus,2025,suv,adas vf6 ngon đám hạng b đầy_đủ adas giả_cầy hãng buồn_cười account chạy camera hãng mưa to_phát,positive
mg,5,std,2024,sedan,tr mấy bố 40 tr toàn mấy thánh_chả mua xe phán mua xe tầm tiền đa_số toàn gia_đình khá_giả lắm co vay_mượn trả_góp mua 9 l km tốn xuống_cấp vui_vẻ tổng_kết đừng mua xe tầu kinh_tế trung_bình xe nhật xe hàn mua ưu_tiên dòng xe phổ_thông tiết_kiệm nhiên_liệu chạy lành,negative
kia,seltos,facelift,2024,suv,kia dạo phê thuốc ngáo giá ớn,negative
vinfast,vf 6,plus,2025,suv,giá hợp_lý,positive
mg,zs,std,2024,suv,đầu showroom mg zs_định múc đi sedan_tính gầm mg5 std nhảy lái thử quào rẻ máy mg5 chạy bốc hẳn cảm_giác chạy_thích đầm cảm_giác hiu_hiu mấy gầm múc mg5_thế xe ưu_nhược trend gầm hẳn anh_em đi lái thử sờ thử cảm_nhận chất_lượng,positive
toyota,corolla cross,v,2024,suv,phom độ phom_hơi đứng_tuổi ha,positive
skoda,slavia,style,2025,sedan,cửa trời nút hòa cảm_ứng đi rẻ,negative
mg,zs,luxury,2025,suv,hòa dàn lạnh hàng mát lạnh,positive
vinfast,vf 6,,2024,suv,nổi_bật vf6 xe hạng b hệ_thống treo độc_lập đa liên_kết xe hạng b toàn treo dầm xoắn phụ_thuộc admin nhắc,positive
mazda,cx-3,1.5 luxury,2025,suv,ngang dulex,neutral
haval,jolian,,2025,suv,mâm xe chạy đẹp,positive
geely,coolray,flagship,2025,suv,đầu_tư rẻ,positive
byd,sealion 6,,2025,suv,ngon thương_hiệu chăm_sóc khách_hàng hàng rẻ ok,positive
geely,coolray,flagship,2025,suv,hộp rẻ,positive
mg,zs,luxury,2025,suv,màn_hình inch to camera nét đỗ xe,positive
skoda,kushaq,style,2025,suv,từng_trải_nghiệm triểm_lãm hạ long xe âu chất_lượng ngon khung gầm thương_hiệu việt_nam thương_hiệu thế_giới giá kiếm châu_âu ngon,positive
toyota,corolla cross,v,2024,suv,mua mua seltos hoen,negative
honda,hr-v,g,2025,suv,chủ xe hrv g tiêu_hao 7 lít 100 km,positive
mg,zs,std,2024,suv,chỗ cốp nhựa kìa nâng miếng cốp thẳng cốp,positive
mitsubishi,attrage,cvt,2025,sedan,xe adas phanh abs rẻ phanh gấp,positive
mazda,cx-3,1.5 at,2025,suv,xe ngon đi luxury cửa_sổ trời vật_liệu nội_thất da hệ_thống tự_động thanh_giá ốp body xe đẹp kiểu khác_biệt thể_thao linh_hoạt đầm xe nhập_thái,positive
byd,atto 3,,2024,suv,5 p sạc 400 km khủng byd,positive
skoda,slavia,ambiton,2025,sedan,khung xe tiền hẳn daihatsu,positive
hyundai,accent,,2024,sedan,tuyệt_vời phiên_bản,positive
omoda,c5,,2024,suv,hy_vọng rẻ chút tậu,negative
vinfast,vf 6,eco,2025,suv,vf5 vf6 khen đẹp mắt,negative
nissan,kicks,e-powers,2025,suv,nissan việt_nam tậm tịt kinh_khủng loanh_quanh xe navara almera kicks chiến_lược phân_khúc rời_rạc việt_nam ưa nissan tội phân_phối chán,negative
byd,sealion 6,,2025,suv,clip chi_tiết chủa tip_car ý_kiến chất_lượng nội_ngoại trông ọp_ẹp cao_cấp_độ hoàn_thiện rẻ hiệu_năng công_suất băn_khoăn độ bền trung_quốc rẻ thừa_nhận băn_khoăn cốt_lõi,positive
honda,city,1.5 rs,2025,sedan,chờ ngon,positive
hyundai,accent,,2024,sedan,chê phân_khúc giá tiền đẹp,positive
nissan,almera,,2024,sedan,đại_lí thanh_khoản đau_đầu tệp khách_hàng hạng b chủ_yếu miếng_cơm_manh_áo gia_đình trẻ tiền,negative
mg,5,std,2024,sedan,thiết_kế đẹp phết,positive
skoda,kushaq,style,2025,suv,chi_phí bảo_dưỡng ngang xe đắt,neutral
omoda,c5,,2024,suv,bảo treo mềm bảo treo cứng,negative
vinfast,vf 6,eco,2025,suv,thiết_kế u_ngi,negative
mg,zs,luxury,2024,suv,xe hạng b giá xe hạng hàn_nhật so_sánh so_sánh giá tiền,positive
toyota,vios,,2025,sedan,vios kiểu_mẫu xe mặc bền rùi,positive
nissan,almera,,2024,sedan,mua đi ameral xe phân_khúc,positive
toyota,vios,,2025,sedan,chê mõm vios đẹp đời vios thẩm_mỹ mắt,positive
vinfast,vf 6,eco,2025,suv,vinfast quyết_định kéo_dài miễn_phí sạc xe chủ xe vinfast vinfast yên_tâm chạy tẹt ga tiền điện chủ_tịch lo ngon đi,positive
geely,coolray,flagship,2025,suv,thiết_kế đẹp,positive
vinfast,vf 6,,2024,suv,byd xe v đieen,negative
hyundai,creta,n line,2025,suv,900 tr lựa_chọn hạng điên mua 900 tr,negative
vinfast,vf 6,eco,2025,suv,150 km pin xe xăng kéo đi sạc,negative
mg,5,std,2024,sedan,400 tr lăn bánh xe công_nhận tiền thịt đấy trang_bị độ đắt ngoại_hình không_gian ổn xe nhật mặc bền anh_em xác_định mua xe stđ đi đổ ổn,positive
skoda,slavia,style,2025,sedan,sống nz skoda nz ưa_chuộng new zealand_xét khía_cạnh tần_xuất xe toyota đại_diện hãng xe châu_á skoda đại_diện hãng xe châu_âu,positive
vinfast,vf 6,,2024,suv,800 tr lăn bánh pin ngon xforce,positive
skoda,kushaq,style,2025,suv,xe phanh_đĩa hoàn_hảo,negative
skoda,kushaq,style,2025,suv,động_cơ turbo bốc tiết_kiệm xăng độ trễ ga,neutral
mazda,cx-3,1.5 at,2025,suv,xe xấu phân_khúc,negative
honda,hr-v,g,2025,suv,xe dáng đẹp vuốt mazda,positive
hyundai,accent,,2024,sedan,đèn đèn xpander đời,neutral
skoda,slavia,style,2025,sedan,thiết_kế ok châu_âu ok,positive
mitsubishi,attrage,cvt,2024,sedan,dụng xe atrage pre vụ đánh_lái vòng vòng đánh_láy vios xe b nghỉ,negative
toyota,corolla cross,v,2024,suv,tóm_lại cross đắt_cx5 kẻ hủy_diệt phân_khúc,negative
geely,coolray,flagship,2025,suv,hơi buồn video mê xe chi_tiết yếu xe đẵ mượn xe cảm_nhận hòa thang_điểm việt_nam mẫu chê bổ_xung yếu yếu chí_mạng điều_hòa model mong_mê xe xe chi_tiết thực_dụng đầy_đủ khách_quan chốt đợi đổi xe chạy lux mẫu phê_chữ ê kéo_dài,negative
haval,jolian,,2025,suv,ủng_hộ hãng xe trung_quốc thị_trường việt_nam lựa_chọn giá xe cạnh_tranh hợp_lý,positive
honda,city,1.5 rs,2025,sedan,chạy honda city rs cảm_giác vần vô_lăng máy chê,positive
mazda,cx-3,1.5 at,2025,suv,500 tr múc tội_gì mua vf5,positive
nissan,almera,,2025,sedan,đi sunny đời cũ lành_bền tiết_kiệm rộng_rãi hòa_mát vác đi hà_nội hạ long nhàn_tênh,positive
skoda,kushaq,style,2025,suv,skoda kushaq ra_mắt giá triệu cú hích phân_khúc b việt_nam,positive
skoda,slavia,active,2025,sedan,khuyến_mại lăn bánh_bản đầu hấp_dẫn,negative
nissan,almera,,2025,sedan,bắc trung_nam hệ_thống ế đợt phụ_tùng giá quan_niệm phụ_tùng giá,negative
mg,zs,luxury,2025,suv,đèn_pha tự_động pha_cos đẹp,positive
haval,jolian,,2025,suv,chốt haval phân_vân chỗ,positive
byd,atto 2,,2025,suv,mới thì hay nhưng vài năm tới thì không ai biết,negative
hyundai,accent,,2024,sedan,mẫu dáng phong_cách hẳn,positive
haval,jolian,,2025,suv,xe tàu anti cx5 vãi hy_vọng xe tàu phát_triển mai_mốt niềm mua kk,positive
toyota,corolla cross,v,2024,suv,nâng_cấp ok_bác mua vui,positive
haval,jolian,,2025,suv,thông_thường công_suất hybrid kiểu thông_số động_cơ cộng thông_số động_cơ ví_dụ cục máy xăng điện công_suất động_cơ tổng_công_suất bình_thường 250 hp kiểu cộng_gộp thế_này chiêu_trò marketing hãng mấy máy dyno test thử liền con_số,negative
nissan,almera,,2025,sedan,xe đẹp city mặc bền hihi,neutral
skoda,kushaq,style,2025,suv,giá đẹp bé xác to tôn_vỏ mỏng việt_nam,neutral
skoda,slavia,style,2025,sedan,video ghế lái ghế chật_chội vạn nhớm nhớm mấy đầu chạm trần xe thoải_mái,negative
toyota,corolla cross,v,2024,suv,đi cảm_giác lái_tệ treo dập_dềnh lái ca_nô biển âm_tệ giá đắt toy toy,negative
geely,coolray,flagship,2025,suv,màu tím cá,positive
omoda,c5,,2024,suv,kỳ_thị lắm dân việt ưa xe tàu giá,negative
skoda,kushaq,style,2025,suv,sống đức xe skoda chạy đường,positive
mazda,2,at,2025,sedan,đi m2 đi phân_khúc b đấy,positive
kia,seltos,,2024,suv,xe xấu,negative
skoda,kushaq,style,2025,suv,ngoại_hình xe bt chấp_nhận phụ_nữ màu đỏ,neutral
honda,hr-v,l,2025,suv,giá lăn bánh 750 tr giá thực bên_thái ngon việt_nam cắt giá,negative
hyundai,accent,,2024,sedan,phân_tích da tiền mua,positive
skoda,slavia,style,2025,sedan,giá hợp_lý hãng xe châu_âu chĩ hơi xa_lạ dân việt_nam dần quen hãng mg dân việt_nam dần quen sữ_dụng,positive
mg,zs,hybrid,2025,suv,ổn động_cơ khỏe đấy,positive
skoda,kushaq,style,2025,suv,mát_ghế ăn_tiền liền anh_em bắc đi mùa hè nóng_ướt đít,positive
toyota,yaris cross,máy xăng,2024,suv,mấy tính_năng an_toàn hãng sản_xuất cạnh_tranh mặt thương_mại vui chạy xe chạy xe kinh_nghiệm tính_năng đi toyota veloz cross đi tắt adas ngu thắng thành_phố thắng cắm_đầu,negative
mitsubishi,attrage,cvt,2025,sedan,chạy phố tiết_kiệm lít 100 km,positive
omoda,c5,,2024,suv,hợp_lý,positive
skoda,kushaq,style,2025,suv,xe trung_quốc tipca,negative
mg,5,luxury,2025,sedan,âm tệ toàn tiếng gió,negative
geely,coolray,flagship,2025,suv,máy bốc,positive
hyundai,accent,,2024,sedan,ngoại thất_nhìn trẻ_trung hẳn anh_em lái thử cảm_nhận lâm âm_rẻ,positive
mitsubishi,attrage,cvt,2025,sedan,ghế rộng thênh_thang người_lớn thoải_mái cốp to chứa vali inch,positive
vinfast,vf 6,eco,2025,suv,xe_điện vin lỗi khó_chịu hãng cãi thiên_rẻ vf6 phãi nâng_cấp to,negative
skoda,kushaq,style,2025,suv,chê tiêu_chuẩn kép cross volswagen có_giá tỷ máy_móc khung_gầm giá nửa ngon,positive
haval,jolian,,2025,suv,bất_tín_vạn bất_tin bài_học xe_máy tàu đạo_nhái long_lanh bắt_mắt thử_hỏi xe_máy tàu kho sắt vụn thuở xe_nhật mấy chục chạy rẻ,negative
toyota,yaris cross,máy xăng,2024,suv,chào việt anh_em lái thử hrv xforce yaris_cross vô_lăng yaris cross đi chậm vô_lăng cảm_giác lỏng kiểu đánh nhẹ vô_lăng trái xe đi thẳng dòng daihatshu sẵn_sàng mua daihatsu chi_phí hợp_lý lái thử lắm đi thử yaris cross đi thử vios raize kiểu đánh_lái đặc_thù hãng mong giải_đáp cảm_nhận đánh vô lăng_tốc_độ,negative
skoda,slavia,style,2025,sedan,xe mua mẹ_con xúc mazda nưa,positive
toyota,yaris cross,máy xăng,2024,suv,xe tuyệt_vời phân_khúc giá_cả hợp_lý xe gầm tiết_kiệm nhiên_liệu rộng_rãi nội_thất cao_cấp tính_năng an_toàn chi_phí bảo_dưỡng thương_hiệu uy_tín,positive
toyota,corolla cross,v,2024,suv,corrola cross nam_tính,positive
toyota,corolla cross,v,2024,suv,toyota ok cx5 dịch_vụ rẻ tâm,positive
mg,zs,luxury,2025,suv,nội thất_da cao_cấp bong tróc,positive
byd,sealion 6,,2025,suv,treo gầm chán,negative
vinfast,vf 6,eco,2025,suv,cạnh em_trai giới_thiệu xe yếu_chí_mạng hàng ghế thử quyết_định mua mệt đi thiết_kế chỗ kéo cánh cửa ngờ_u con_nhỏ đóng_cửa,negative
skoda,kushaq,style,2025,suv,ngon xe nhật gầm,positive
toyota,vios,g,2024,sedan,tay_lái vô_lăng độ dơ chính_xác,negative
skoda,slavia,style,2025,sedan,nhà_máy ngắm hạng b ngang mada3,negative
skoda,kushaq,style,2025,suv,phanh an_toàn xấu kém,negative
haval,jolian,,2025,suv,đi xe xe 719 tr chắc_nịch tội cốp đóng cơm xưởng dịch_vụ tỉnh đem hyundai,neutral
byd,atto 3,,2024,suv,giá 611 tr v xe v đầu xe việt_nam giá trời đem xứ mỹ_quốc thuê rẻ ôi vf8_plus việt_nam tỏi_rưởi mễ thuê đô đợt khuyến_mãi đô đầu_ốc tỷ_phú việt_nam thuê giá sản_xuất kịp giao xe,positive
mg,5,luxury,2025,sedan,tầm củ mg5 lux lựa_chọn hơp_lý,positive
byd,sealion 6,,2025,suv,đầu bớt mấy râu con_sư tử_biển đi đuôi_mập chút đẹp,negative
byd,atto 3,,2024,suv,nội_thất kiểu đồ_chơi trẻ_con,negative
hyundai,creta,n line,2025,suv,phân_khúc tiền mua base,neutral
honda,city,1.5 rs,2024,sedan,đi vạn xe ok,positive
hyundai,creta,n line,2025,suv,xe giá lăn bánh lựa_chọn xe hạng cuv cở ho,neutral
vinfast,vf 6,eco,2025,suv,xe chạy đầu ưng lắm bốc đạp vút đi đợt đạp gas yếu xiều_đạp mỏi chân anh_em giúp nha,neutral
mg,zs,luxury,2025,suv,mg zs luxury option đầy_đủ giá triệu tiền,positive
nissan,almera,,2025,sedan,chạy mẫu củ hài_lòng nisan mặt bảng nissan lắng_nghe nhu_cầu mấy chê chê bơi nè,positive
vinfast,vf 6,eco,2025,suv,tiếng ve tiếng máy nén,neutral
mitsubishi,xforce,ultimate,2024,suv,bảo phần_mềm màn_hình infotainment thiếu_thốn thử phân_tích so_sánh xe,negative
toyota,vios,,2025,sedan,xe mệnh_danh xe dịch_vụ xứng_đáng mua mệnh_danh dòng xe dịch_vụ,positive
byd,atto 2,,2025,suv,trạm sạc hệ_sinh_thái đẹp,negative
geely,coolray,flagship,2025,suv,camera nét đỗ xe rẻ cảm_biến,neutral
hyundai,accent,,2024,sedan,đẹp,positive
vinfast,vf 6,,2024,suv,độ ồn_ngang i10,negative
byd,sealion 6,,2025,suv,treo ố giề,negative
