comment,label
thái giá ngang crv ngáo_vờ cờ_lờ,{COST#Negative};
lăn bánh hạng b máy_yếu căng,{COST#Negative};{PERFORMANCE#Negative};
xe phom_dáng đẹp hài_hòa đẹp đời creta,{EXTERIOR#Positive};
màu đen đẹp,{EXTERIOR#Positive};
n line sàn,{PERFORMANCE#Negative};
phân_khúc rộng tý,{INTERIOR#Negative};
dáng xe đẹp,{EXTERIOR#Positive};
phân_khúc tiền mua base,{COST#Neutral};
nl lăn bánh_tầm đẹp,{COST#Positive};
nuốt cửa_sổ trời nc kín,{FEATURES#Negative};
ống xả đôi ngon,{EXTERIOR#Positive};
n_line cốp_cơ,{FEATURES#Negative};
giá turbo ăn_thua yaris cx5 thẳng tiến,{COST#Negative};
715 tr mua,{COST#Negative};
màn_hình đôi_ý,{INTERIOR#Negative};
ngoại_hình bản_base hợp_gu ngoại_hình base màu mè hoa lá hẹ,{EXTERIOR#Positive};
mê_cvt lắm,{BRAND#Negative};
ống pô giấu cân_đối tí,{EXTERIOR#Negative};
giá cửa_sổ tr,{FEATURES#Negative};{COST#Negative};
giá cao_lăn bánh tỉnh 740 tr đẹp,{COST#Negative};
turbo vứt,{FEATURES#Negative};
xe cầu ok,{FEATURES#Positive};
giáo hiện ngoại_thất thẩm_mỹ thể_thao santafe san tù_túng,{EXTERIOR#Positive};
n line turbo vứt,{FEATURES#Negative};
nline giả_cầy,{EXTERIOR#Negative};
nội_thất nhấn viềng đỏ sến sến,{INTERIOR#Negative};
n line đẹp mâm cột xấu thiết_kế thoát xe cụt trang_bị nổi cốp điện buồn,{FEATURES#Negative};{EXTERIOR#Negative};
đẹp xấu đầu đuôi dối chi_tiết đối_thủ nội_thất đẹp,{EXTERIOR#Negative};{INTERIOR#Positive};
xe hàn trung thị_trường việt_nam đua mua công_nghệ hàn_chả top chop,{FEATURES#Negative};{BRAND#Negative};
ngáo giá hạng b cook,{COST#Negative};
mấy cuv hạng b có_giá 700 tr tầm hơi cx5 ford giảm_giá tầm đấy cuv hạng kia,{COST#Negative};
giá ổn_ổn suy_đoán ban_đầu mong phiên_bản n line turbo kia seltos gt line tất_nhiên giá ổn seltos ngáo,{COST#Positive};
đi creta thẩm ngoại_hình hự hự mâm,{EXTERIOR#Negative};
trông xe trẻ trâu so_sánh ngoại_thất hrv chảnh đồ_chơi trẻ_con,{EXTERIOR#Negative};
dân việt đói may tiền thừa mua giá v yaris cx5 terri sale mạnh_đu trend dân việt bóp thuế xe kiểu chả sale đầu 6 xx,{COST#Negative};
cân_nhắc nghĩa mua haha hàn xịn tàu tàu rẻ nội_thất_xịn nhật phân_khúc rẻ củ tui mua,{COST#Negative};
nline lăn bánh terri trend cx5 deluxe chặn 2 đầu xforce ptb yariss giame ptb kẹp đẹp ngon no hope hạng b lăn bánh loanh_quanh,{COST#Negative};
động_cơ vận_hành đi phố xe ổn nội_thất chiều chị_em phụ_nữ,{INTERIOR#Positive};{PERFORMANCE#Positive};
mẫu ế lòi ta mua xe hàn rẻ kia hyundai mấy ngáo giá ế lè đi xe hàn comment,{BRAND#Negative};{COST#Negative};
đường_xá việt_nam đáp_ứng máy 5 t bốc tăng_tốc giây đi phố hao xăng lâu_dài ngon lắm chi_phí tầm xe hạng b máy giới trẻ bốc chạy creta cao_cấp cũ cao_tốc full_tốc 120 km h lái ngon xào_chẻ làn mượt đi khỏe,{PERFORMANCE#Negative};{COST#Negative};
n line động_cơ trang_bị giá tương_đối hợp_lý ngáo_ngơ seltos creta ra_mắt thaco điều_chỉnh giá seltos,{COST#Positive};
xe giá lăn bánh lựa_chọn xe hạng cuv cở ho,{COST#Neutral};
lỏ thiệt nline gắn cục turbo vô ta elantra đời đắp đắp mấy thể_thao vô xong nline mặt hyundai thiệt,{FEATURES#Negative};
10 tr body kit nline hợp_lý huyndai hẳn cục turbo cạnh_tranh hẳn hrv rs seltos turbo bán_chạy thương_hiệu,{FEATURES#Negative};{BRAND#Negative};
mấy xe hạng b ra_mắt set giá hợp_lý đòi bữa khuyến_mãi giảm_giá giá thế_này chê cx5 terri base đòi cục turbo vô giá mua mồm_chế đắt chê 7 dct khô sợ nhiệt,{COST#Positive};{PERFORMANCE#Negative};
giá ta cân_nhắc cx5 base cuv hạng b trung_quốc giá mềm chất_lượng hề thua_kém động_cơ,{PERFORMANCE#Positive};{COST#Positive};
mua xe chú_ý may_mà trái_tim xe may hộp_số giá trời hiểu_biết may_hộp i cvt na_tu bo_hộp ly_hợp kép 7 cap ngi,{COST#Negative};{PERFORMANCE#Negative};
xe huyndai thiết_kế xấu_xí,{EXTERIOR#Positive};
xe creta ổn_định_giá tiếc hộ anh_em n_line cao_cấp cốp điện thôi_thì công_ăn_việc_làm xưởng thu_nhập độ cốp xe trẻ gia_đình hàng thoải_mái chật,{FEATURES#Negative};{INTERIOR#Neutral};{COST#Positive};
đầu khu_vực điều_hòa cũ gọn_gàng đẹp rối_rắm,{INTERIOR#Negative};
xe hạng b tối_ưu không_gian thiết_kế khu_vực phím bấm hình_như hơi rườm_rà phím bấm kích_thước phím thẩm_mỹ thực_dụng khu_vực n line khác_biệt hình_thức trang_bị khác_biệt động_cơ hơi tiếc ngoại_hình facelift ổn,{INTERIOR#Negative};{EXTERIOR#Positive};{PERFORMANCE#Neutral};
n_line thiết_kế logo lệch cân_đối xấu,{EXTERIOR#Negative};
đuổi đội_ngũ thiết_kế huyndai xe hàn xe tàu thuê chung_đội thiết_kế na_ná phá xe đồ_chơi _,{EXTERIOR#Negative};{BRAND#Negative};
khen tưởng xe tỉ rẻ giá 700 tr hời hơi lố nổi_bật,{COST#Positive};
viền trắng kéo xe cột đi trông_tởm cũ_bản trông cũ xấu thậm_tệ,{EXTERIOR#Negative};
cụm điều_hòa chán đấy nút siêu_rối_rắm hoàn_thiện rẻ_tiền ăn_nhập cụm màn đôi,{INTERIOR#Negative};
cụm yên_ngựa ghế_lái ghế phụ thiết_kế rối_rắm xấu,{INTERIOR#Negative};
facelift chạy đổi mẫu quanh_năm mẫu chẳng nhận_diện thương_hiệu rõ_ràng vin,{BRAND#Negative};
ban_đầu khai_phá gầm đô_thị ford escort kona quánh ford tan_nát seltos đập phát kia chết dí thân gầm động_cơ seltos thua kia bảo mấy voz chê ỏng chê_eo thị_trường ta lắm xe giá hợp_lý bờ đê,{PERFORMANCE#Negative};{COST#Negative};{BRAND#Neutral};
ngoại_hình cảm_giác hyundai mắc_kẹt mẫu thiết_kế xe chắp_vá chỗ già chỗ trẻ,{EXTERIOR#Negative};
xe tuyệt_vời phân_khúc giá_cả hợp_lý xe gầm tiết_kiệm nhiên_liệu rộng_rãi nội_thất cao_cấp tính_năng an_toàn chi_phí bảo_dưỡng thương_hiệu uy_tín,{COST#Positive};{BRAND#Positive};{EXTERIOR#Positive};{INTERIOR#Positive};
yc xăng nội_thất ok xforce chạy ga êm ồn xforce hàng hai hai chân hơi khó_chịu chút dang hai đút hai chân vô_ghế vắt chân ổn 1 m68 yc full adas lẫn ghế chỉnh_điện camera360 ăn_đứt xforce cốp xe hai yc xforce xforce kéo bệ tì hàng hai đồ cốp tiện,{EXTERIOR#Positive};{PERFORMANCE#Negative};{INTERIOR#Negative};{FEATURES#Positive};
mua yc đỡ 65 tr mua yc hợp_lý mua xp uti cố cx5 deluxe_niên_yết mượt mua yc hev múc cx5 lux hợp_lý v,{COST#Positive};
lái đi phố lái nhẹ_nhàng yaris cross cam_adas cảm_biến xforce_bản mắc yc 60 tr mà_còn tùm_lum mua độ không_khéo lệch tr yc,{PERFORMANCE#Positive};{FEATURES#Positive};
nội_thất yaris cross thể_hiện chủ_đề toyota đổi_mới trẻ_trung tiếp_cận đơn_giản buồn_tẻ thay không_gian mẫu xe hạng b tương_đối cầu_kỳ tất_nhiên mặt vật_liệu kỳ_vọng nổi_bật tương_tự mẫu crossover hạng b da kim_loại yaris cross phá đường kẻ vải họa_tiết nhựa mua xe trẻ thích_thú,{INTERIOR#Positive};
đi thử độ êm_khung gầm yc ngon tăng_tốc êm_mượt ghế_ngồi ôm lưng máy_lạnh mát tầm quan_sát thoáng nhược_điểm máy gào lọt cabin tăng_tốc khó_chịu âm_tốt xforce cửa thắng,{PERFORMANCE#Positive};
mạnh_mẽ tính_năng an_toàn xe dứt_khoát tính_năng an_toàn xe toyota yaris cross an_toàn tiết_kiệm giá,{FEATURES#Positive};{COST#Positive};
xf pre ngang giá option yaris cross lăn bánh 700 tr_xíu xf ultimate tiệm cận 800 tr tầm_ý ta cx5,{COST#Neutral};
yc cảm_giác cân_bằng yếu_tố máy_yếu dcvt tăng_tốc ì_ạch tiền va_chạm 50 km h nhừn hợp_lý ô_tô phanh gấp tốc_độ dồn toa lái đại_lý bảo_dưỡng toy có_giá rẻ km gạ thuốc hiểu_biết xe,{PERFORMANCE#Positive};{COST#Positive};
yaris cross đẹp chững chạc yaris_cross tài_chính kiểu_dáng thể_loại xe nghỉ yaris cross khung gầm_dhs kiểm_định toyota thị_trường ý_kiến,{EXTERIOR#Positive};{COST#Positive};
mấy tính_năng an_toàn hãng sản_xuất cạnh_tranh mặt thương_mại vui chạy xe chạy xe kinh_nghiệm tính_năng đi toyota veloz cross đi tắt adas ngu thắng thành_phố thắng cắm_đầu,{FEATURES#Negative};
đi yaris hv hôm_qua lưu_thông xe phanh đột_ngột hơi xe tự_động phanh trải toyota xe tốt_cơ,{FEATURES#Positive};
nghịch_lý yaris cross thắng ngăn tức_là thắng giảm_thiểu tai_nạn km cảnh_báo thắng đâm tipcar lý_giải giúp đổ thừa ánh nắng xe chiều chạy mờ,{FEATURES#Negative};
đi xe lái thử xforce pre đẹp tham_khảo xe trưng_bày showroom cột lỏng nội_thất khớp nhựa hoàn_chỉnh lắm lái thử cảm_nhận đi đường xấu rè nhựa sales fix sản_xuất giao mấy lỗi đĩa phanh cột phàn_nàn sales lơ_đi yaris_xăng xforce nội_thất tử_tế mặc_dù nhựa chuẩn_chỉnh lái đường xấu cảm_nhận ồn xfoce khả_năng chấp_nhận hệ_thống adas hoạt_động ok_tóm_lại cọc yaris_xăng xe_nhật tầm giá xe ưu_nhược_điểm thiên chạy ổn_định bảo_dưỡng rẻ nội_ngoại hài_hòa tai_tiếng dhs nhà_máy kiểm_soát chặt_chẽ khâu sx xforce đầu ra_mắt lỗi fix lô sản_xuất,{EXTERIOR#Negative};{INTERIOR#Positive};{COST#Positive};{BRAND#Positive};
vid tương_đối veloz yaris cross dừng logo toyota cột xe toyota đời sâu vios corolla altis mỏng thoáng dhs cột chỗ nghỉ_chân trái ghế tài bọn dhs đấy mỏng xe bthg lái_xe bánh_trái toyota đặt_chân bao xe nhựa nội_thất nhựa xe vios corolla cross dày_dặn cao_cấp bavia nhựa chi_tiết hề mấy anh_em hộp đồ ghế phụ raize kinh_tởm safety sense corolla cross camry phàn_nàn nma dhs phàn_nàn làn nhỡ signal chập_chờn nguy_hiểm video hôm_nay năng_phanh giảm_thiểu va_chạm nghi_ngại yrcr thiết_kế dhs yên ngựa chân ga phanh hợp_lý hiện_tượng kích_chân yên ngựa vận_hành xe dứoi góc_độ chủ xe corolla altis toyota nghĩa trải_nghiệm toy lân dhs bổ_sung,{EXTERIOR#Negative};{FEATURES#Negative};{INTERIOR#Negative};
phanh tự_động yaris cross adas giả_cầy đấy tính_năng hoạt_động chập_chờn lỗi video so_sánh creta vật_cản phanh khen ngút_trời video phanh bảo camera vật_cản giống_thực nhận_diện trả_lời comment tipcar wth làn video hello xe camera mờ tiền đồ dậu rảnh soi hệ khung_gầm diehatsu giả_cầy khung gầm yaris cross ac200 dnga b segment avanza veloz việt_nam khung gầm chỗ khoang động_cơ veloz độ_chế cơi_nới cắt_xẻ xforce khung gầm rise cũ khung gầm toàn_cầu mitsubishi bố_trí thép gia_cường ac200 daihatsu ac200 cực thép mpa rise thép mpa hình_ảnh khung gầm google khác_biệt phân_khúc nhà_sản_xuất bớt tùy chỗ chiến_lược hàng khung gầm ngon chi_phí hạng_mục hơi kém option miên_man cắt chỗ khung_gầm kết_luận xforce tai_nạn mạng ta đâm diehatsu giúp xe đỡ xước đỡ mất_giá mạng tai_nạn hên xui,{FEATURES#Negative};{EXTERIOR#Negative};{COST#Positive};
chào việt anh_em lái thử hrv xforce yaris_cross vô_lăng yaris cross đi chậm vô_lăng cảm_giác lỏng kiểu đánh nhẹ vô_lăng trái xe đi thẳng dòng daihatshu sẵn_sàng mua daihatsu chi_phí hợp_lý lái thử lắm đi thử yaris cross đi thử vios raize kiểu đánh_lái đặc_thù hãng mong giải_đáp cảm_nhận đánh vô lăng_tốc_độ,{PERFORMANCE#Negative};{INTERIOR#Negative};{COST#Positive};
cam hệ_thống nhầm chân phanh yaris ngon hệ_thống phanh dải tốc_độ km h xfor ngon yaris rẻ xfor đắt quả_lọc không_khí thực_dụng yaris an_toàn rẻ người_nhà say xe xfor_lọc không_khí rộng hộ_trợ say tiền mua tặng em_trai yaris tiếp_kiệm an_toàn lái phục_vụ bố_mẹ già say xe xfor anh_em quan_điển xfor đẹp bảo trục ọp_ẹp,{COST#Positive};{EXTERIOR#Neutral};{PERFORMANCE#Positive};{FEATURES#Positive};
yaris đẹp lo_ngại chất_lượng xforce ngoại_thất xấu đuôi xe hoàn_thiện ọp_ẹp xe danh_sách cân_nhắc bd3 altis vf6,{EXTERIOR#Positive};
xe yaris cross xe đẹp cứng_cáp hình đẹp khung gầm dòng xe đông nam_á tương_đương xe công_năng tính_năng an_toàn giá_cả hợp_lý hư_hỏng vặt bảo_dưỡng rẻ mất_giá ok,{EXTERIOR#Positive};{FEATURES#Positive};{COST#Positive};
test yc đoạn đường soc_trang đi rạch giá tiêu_hao nhiên_liệu 8 lit km,{PERFORMANCE#Positive};
vote yaris máy toyota bàn công_nghệ ngon tiết_kiệm nhiên_liệu mà_còn bảo_dưỡng thay phụ_tùng,{PERFORMANCE#Positive};{FEATURES#Positive};{BRAND#Positive};{COST#Positive};
đi yaris cross hev êm_nhé,{PERFORMANCE#Positive};
xfroce km phanh tự_động làm_việc ok km phnah tự_động làm_việc ok km phanh tự_động làm_việc ok km phanh động_cơ làm_việc đâm chướng_ngại_vật yaris cross km phanh tự_động làm_việc đâm chướng_ngại_vật hệ_thống chống đạp nhầm chân ga xfroce yaris_cross làm_việc hiệu_quả,{FEATURES#Positive};
phân_vân định vỏ mỏng ấn ọp_ẹp ok đi đua máy khỏe thân vỏ mỏng băn_khoăn liệu ảnh_hưởng an_toàn ồn tầm_giá phân_khúc xe ồn chút ý_kiến,{EXTERIOR#Negative};{PERFORMANCE#Positive};{COST#Neutral};
ngon vận_hành trơn_tru ồn đồn cách_âm,{PERFORMANCE#Positive};{FEATURES#Positive};
xe ngon vận_hành trơn_tru ồn đồn cách_âm anh_em mua xe chuẩn chê siêu ngon,{PERFORMANCE#Positive};{FEATURES#Positive};
hộp cvt mẫu vọt cảm_giác hộp_số,{PERFORMANCE#Negative};
sức_mạnh hev hev đạp ga gấp rú máy ghê lắm xăng điện,{PERFORMANCE#Positive};
700 m máy thanh_niên cào_phím đòi an_toàn đày_đặn xe đức tr che nắng che mưa hòa gầm chê,{COST#Positive};
đi chạy_thử lái đi huynhdai mazda audi porche dòng xe lái thuê chủ cảm_nhận xe êm_ái_lanh lẹ option trang_bị an_toàn âm_tốt cách_âm audi a5 lái_xe bốc đi bình_thường ổn sock đọc bình_luận chê kinh_nghiệm xe đi ổn chê đi thử đặt_cọc hôm_nay đại_lý tr giới_thiệu linh_tinh đi thử,{PERFORMANCE#Positive};{FEATURES#Positive};
xe vận_hành êm tiết_kiệm bền đẹp,{EXTERIOR#Negative};{PERFORMANCE#Positive};
xe giá hợp_lý thương_hiệu phanh điện_tử aotu hole_lẫy ngon óp_sừng đầy_đủ,{COST#Positive};{BRAND#Positive};{FEATURES#Positive};
đi thử sức_mạnh xét kiểu_dáng ngoại_thất hầm_hố đẹp kia seltos sonet,{EXTERIOR#Negative};
ngon phân_khúc suv cỡ b đi xf,{PERFORMANCE#Positive};
cvt ngon,{PERFORMANCE#Negative};
mua nhìu nghiên_cứu youtube kiểu xe tiền tiền xe thôi_mún tiêu_chí đi ngon máy_lạnh mát sâu xe gầm thiết_kế trẻ_trung to đi phố ok quốc_lộ ok bình_thường cốp rộng gia_đình vợ trẻ_em hồi youtube chê_nhìu thua thua kia qtrong sở_thích thương_hiệu xe mẫu_mã tiêu_chí chê chê múc_thế,{FEATURES#Positive};{PERFORMANCE#Positive};{EXTERIOR#Positive};{INTERIOR#Positive};
tiếng daihatsu chuyên xe phân_khúc hạng b nhật gia_công sản_xuất mấy mazda subaru phân_khúc hạng b đâm_đụng bẹp chẳng daihatsu phân_khúc b hãng lái_xe cố_gắng an_toàn hệ_thống an_toàn toyota mẫu thiết_kế thiết_kế đẹp mấy hyundai chẳng_hạn veloz đẹp stargazer yaris cross đẹp creta máy_lạnh mát mấy xe hàn âm chê thùng tôn ồn honda động_cơ mã_lực tương_đương mitsu lái_bóc khỏe mitsu mua bình_luận vui sai rep,{BRAND#Positive};{FEATURES#Neutral};{EXTERIOR#Positive};{PERFORMANCE#Positive};
xe lái thử ok mấy xforce creta daihatsu nổi_tiếng sản_xuất xe phân_khúc b đội madza subaru mua daihatsu toàn daihatsu sản_xuất hộ nhật thương_hiệu daihatsu tin_yêu toyota,{PERFORMANCE#Positive};{BRAND#Positive};
tui lái vios sorento xforce new seltos yaris cross rùi ưu_nhược_điểm mấy xe đấy cân_đo tiêu_chí nhu_cầu tui điều_hòa mát sâu độ mát lắm rùi lái vô_lăng đầm siết review luyên_thuyên kêu lỏng_lẻo treo đi phố tui đi biên_giới đường đẹp ăn_uống tiết_kiệm loanh_quanh lít 100 km tùy chân to cách_âm không_gian khoang lái tệ mấy review khoang động_cơ âm lắm chân ga đi êm_nội_thất đẹp đắp tiền doanh_số noa on_top thái đấy việt_nam lẹt_đẹt mấy hãng ngáo_giá đấy bảo_dưỡng hãng đấy,{FEATURES#Positive};{PERFORMANCE#Positive};{INTERIOR#Positive};{COST#Positive};
tính_năng chống đạp nhầm chân ga yaris cross,{FEATURES#Positive};
sờ yaris_cross thân vỏ n mỏng_manh không_gian n ok ghế_ngồi cốp lái thử,{EXTERIOR#Negative};{INTERIOR#Positive};
lái thử xe treo cross creta rât_êm hơi bồng_bềnh test kiểu phóng cua gấp creta nghiêng lái_cross suy_nghĩ fortuner cua nghiêng creta cross âm_hơi chán bóp còi xe xe,{PERFORMANCE#Positive};{FEATURES#Negative};
xài yaris hài_lòng giá hợp_kí,{COST#Positive};
xe toyota đình đạp nhầm phanh an_toàn,{FEATURES#Positive};
kiểu_dáng yaris_cross sợ xe tyohatsu,{BRAND#Negative};
đẹp hàn_ăn mặc_bền toyota nhen,{BRAND#Neutral};
sự_dụng toyota bảo_hành hàng rẻ,{COST#Positive};{BRAND#Positive};
creta giàn loa nhạc yaris cross công_nghệ chống nhầm chân ga tiền logo địa_cầu,{FEATURES#Positive};
chế_độ nhầm ga,{FEATURES#Positive};
giá yaris cross xăng so_sánh creta công_nghệ creta thua yaris cross xăng,{FEATURES#Positive};
xe tuyệt_vời phân_khúc suv hạng b giá_cả hợp_lý xe gầm tiết_kiệm nhiên_liệu rộng_rãi nội_thất cao_cấp ghế da chỉnh_điện tính_năng an_toàn chi_phí bảo_dưỡng thương_hiệu uy_tín,{COST#Positive};{EXTERIOR#Positive};{PERFORMANCE#Positive};{INTERIOR#Positive};{FEATURES#Positive};{BRAND#Positive};
đi vạn đều_đặn 180 km phân_vân x force yariss xăng thiết_kế hầm_hố tính_năng khác_biệt xăng điện một_chút thương_hiệu bền_bỉ tiết_kiệm ghế lái_chỉnh điện đi đường trường cao_tốc nội_thành báo 5 km 1 l tkiem đi,{EXTERIOR#Positive};{BRAND#Positive};{PERFORMANCE#Positive};{FEATURES#Positive};{COST#Positive};
chạy thử ok âm_hơi ồn chốt mua vợ xong triệu lót sàn bớt ồn_tí ok,{FEATURES#Negative};{PERFORMANCE#Positive};
lái thử kiểu thiết_kế,{EXTERIOR#Positive};{INTERIOR#Positive};
đại_lý bảo_dưỡng nỗi hỏng hóc,{BRAND#Positive};
giảm_giá bán_chạy,{COST#Neutral};
trang_bị hộp at,{PERFORMANCE#Negative};
hybrid khắc_phục cơ_bản nhu_cầu chủ tút xe đi 4 l 100 km p sợ hỏng hộp_số,{COST#Positive};{PERFORMANCE#Negative};
chê tầm tiền thể_hiện kỳ_vọng,{COST#Positive};
chạy grab chuyên hà_nội nội xe báo km l,{COST#Positive};
thân vỏ mỏng mỏng cửa đi đóng phát hắn bê_bối,{EXTERIOR#Negative};
đèn xấu mạnh_mẽ đầu xe xe bé xforce_lực,{EXTERIOR#Negative};
700 tr hợp_lý base bùng_nổ doanh_số,{COST#Positive};
xét tổng_thể_trừ tôn_mõng ok tầm giá 700 trieu ảnh_hưởng vận_hành mấy ngon tôn_dầy tầm 1 ty khác_biệt,{EXTERIOR#Negative};{COST#Positive};
đẹp đấy đẹp hạng b,{EXTERIOR#Positive};{INTERIOR#Positive};
đi vạn đều_đặn 180 km phân_vân x force yariss xăng thiết_kế hầm_hố tính_năng khác_biệt xăng điện một_chút thương_hiệu bền_bỉ tiết_kiệm ghế lái_chỉnh điện đi đường trường cao_tốc nội_thành báo 5 km 1 l tkiem đi,{EXTERIOR#Positive};{FEATURES#Neutral};{BRAND#Positive};{COST#Positive};{INTERIOR#Positive};
6 l 100 km hn quảng_cáo,{COST#Negative};
xe mua bà_xã đi ké yaris thanh_gươm bé bé quý dòng toy yaris cờ rớt,{EXTERIOR#Positive};
đi 10 k km kêu bảo_dưỡng rẻ rẻ đi bảo_dưỡng sh mùi quảng_cáo thay tháo đấy rẻ sh,{COST#Negative};
quảng_cáo xe chạy,{PERFORMANCE#Negative};
tai 50 km chi 400 k noi co_xao troi,{COST#Negative};
khung gầm dnga giá tnga khen việt bọn nhật gạt bánh bánh_cha vios đi chả khen,{COST#Negative};{PERFORMANCE#Negative};{BRAND#Negative};
rẻ á_rẻ option hạng b xforce seltos creta hrv hạng option giá toàn trời,{COST#Positive};
yaris vô_lăng trễ lái thử xe đi bữa đi taxi trễ rõ_rệt,{PERFORMANCE#Negative};
suy_nghĩ phết rộng_rãi gọn lách chất_lượng kiểu_dáng thương_hiệu tương_đối giá_cả xe ưng_ý,{INTERIOR#Positive};{EXTERIOR#Positive};{BRAND#Positive};{COST#Positive};
xài yr cross kích_thước gia_đình trẻ vợ_chồng_con đẹp lanh_lẹ đi phố sức xe chạy 100 km h loa loa pioneer adas xài option cam_cảm biến quanh xe cảm_biến áp_suất lốp đầy_đủ vô_lăng chạy chậm hơi lỏng chạy siết êm ồn đi đường đẹp nhược_điểm đi đường xấu siêu_ồn đi đèo núi lẫy an_toàn xài phanh đi phố cỡ lít 100 km đi đường trường cỡ lít tiết_kiệm,{EXTERIOR#Positive};{PERFORMANCE#Positive};{FEATURES#Positive};{COST#Positive};
trải_nghiệm phân_khúc tui giá tiền trang_bị trải_nghiệm tiện_ích thẩm_mỹ yarris_cross hài_hòa ý_kiến,{COST#Positive};{FEATURES#Positive};{PERFORMANCE#Positive};{EXTERIOR#Positive};{INTERIOR#Positive};
độ an_toàn rõ_ràng toyota yarris cross nhỉnh đạp nhầm chân phanh yaris cross hiệu_quả động_cơ chút thân_vỏ thằng yaris ổn câu dainhatsu,{FEATURES#Positive};{PERFORMANCE#Neutral};{EXTERIOR#Negative};
khung tàu,{EXTERIOR#Negative};
mê chống đạp nhầm chân ga giá rẻ yaris chờ xe,{COST#Positive};{FEATURES#Positive};
yariss cross đẹp,{EXTERIOR#Positive};
hrv mặc_dù ồn đắt cân_nhắc chi_phí lâu_dài yaris cross ổn,{BRAND#Positive};{COST#Positive};
hàng nhật ưa_chuộng chi_phí công_nghệ hợp_lý việt,{BRAND#Positive};{FEATURES#Positive};{COST#Positive};
