brand,model,version,year,segment,comment,label
nissan,almera,,2025,sedan,"Chiếc xe thứ 2 mua trong đời, bán để lên 7 chỗ. Ko có j để chê nó, tiết kiệm và cực đầm. Nội thất ráp Thái cực kỳ chắc ko bị ọc ạch, cửa đóng đầm tay, cách âm khá. Bản cũ mua 2021 ko có bệ tỳ tay trc sau, ko có dàn sưởi cho mùa đông (về sau hãng lắp cho). Bản VL 2021 treo hơi cứng, bản này thì ko biết. Giá cạnh tranh hơn Vios với City, tay lái khá chân thực. Xe mua 2022 lăn bánh HN 620, năm 2025 đc 430. Mất giá hơn so với Vios, City nhưng khung gầm cứng hơn, đi an toàn hơn.",positive
nissan,almera,,2025,sedan,Nâng cấp thêm phanh tay điện tử thì tốt,negative
skoda,slavia,ambiton,2025,sedan,"một con xe thiết kế chỉnh chu biết quan tâm đến khách hàng: khung gầm chắc chắn, 6 túi khí, cách âm tốt giá lại phải chăng, dự là sẽ hot",positive
mitsubishi,attrage,cvt,2024,sedan,Xe này ngon bổ rẻ có thật em đang chạy một chiếc,positive
geely,coolray,flagship,2025,suv,An toàn cao cấp.,positive
skoda,slavia,style,2025,sedan,Phải 5 năn sau ở thị trường Việt Nam mới nói lên được,negative
toyota,yaris cross,máy xăng,2024,suv,"1 vote cho Yaris ,máy Toyota thì khỏi bàn ,công nghệ ngon ,tiết kiệm nhiên liệu mà còn dễ bảo dưỡng thay phụ tùng.",positive
skoda,kushaq,style,2025,suv,Ghế sau có tựa tay.,positive
nissan,almera,,2025,sedan,"Ae giờ ko nên mua xe Nissan nữa vì hãng này đang khung hoảng trầm trọng, đã phải cắt giảm lượng lớn nhân sự và rút khỏi rất nhiều thị trường trên thế giới",negative
vinfast,vf 6,,2024,suv,"Theo em thấy thì trong tầm giá 900 triệu đổ lại thì VF6 ( bản plus) là chiếc xe có chất lượng cao nhất. Tất cả các thông số từ sức mạnh, trang bị an toàn, công nghệ trợ lái đều vượt trội so với các xe khác.
Nhưng mà nếu chọn mua thì em sẽ chọn 1 chiếc Kia Carens 1.4 hoặc Honda BRV L chứ không bao giờ chọn VF6. Mặc dù 2 con này thua VF6 trên hầu hết mọi thông số !",positive
vinfast,vf 6,,2024,suv,Xe việt nam mà giá thành cao thế này thì dân thường tiếp cận làm sao đc nhỉ.,negative
skoda,kushaq,style,2025,suv,xe ngon bổ rẻ thế này còn j để chê nữa đây,positive
mg,zs,luxury,2024,suv,"Chuẩn là tiền nào của nấy!Tầu thì chỉ là Tầu,ko thể so sánh với Hàn Nhật dc",negative
byd,atto 3,,2024,suv,"xu thế là xe điện mà, nên nếu chất lượng và dịch vụ tốt thì hoàn toàn cạnh tranh quá OK chứ",positive
toyota,vios,g,2024,sedan,Phiên bản mới mà nhà SX đưa thêm vào tính năng phanh chủ động trước va trạm giống như trên Xforce thì tuyệt. Còn tay lái thì điều chỉnh nhẹ như everest là được rồi,neutral
huyndai,accent,,2024,sedan,Nhìn lạ nhưng phải đi mới biết,neutral
mg,zs,luxury,2025,suv,"Xe đẹp, đi đâu cũng được khen",positive
vinfast,vf 6,eco,2025,suv,Nhờ thợ làm cửa nhôm kính gắn thêm cho cái tay nắm cửa mở ra đóng vào cho dễ,negative
honda,city,1.5 rs,2025,sedan,"Đang chạy City. Nhận xét chung là hài lòng với giá tiền bỏ ra, đi cao tốc khá nhàn do có sensing, cảm giác vần volang nhẹ nhưng đầm chắc. Cái không thích là khá ồn, tiếng lốp vọng vào nghe rõ, bực mình nhất là kết nối bluetooth với điện thoại khó quá.",positive
vinfast,vf 6,plus,2025,suv,"Tháng sau lấy em nó rồi mà thiên hạ nói phải thay phuộc sau của TEIN, chưa biết ra sao mà trước lái thử 4 tiếng thì có hiện tượng lắc ngang khi chạy tốc độ cao thiệt",negative
byd,atto 3,,2024,suv,6xx mà đến lúc thay pin báo khách viên pin bên em bán 3xx là em em sẽ bán đồng nát luôn cả xe và pin xe :)),negative
honda,hr-v,g,2025,suv,Bỏ bản turbo thì coi như ế,negative
nissan,almera,,2024,sedan,Quả đầu xe giống mg5,neutral
honda,city,1.5 rs,2025,sedan,"City fom này đẹp quá. Đặc biệt bảng đồng hồ và cản trước, sau. Mình mua bản L 2023 giá lúc đó cao hơn RS bây giờ, giờ thấy tiếc quá",positive
mitsubishi,xforce,ultimate,2024,suv,Con này giá mềm mà nội thất vs vô lăng nhìn sang,positive
haval,jolian,,2025,suv,Sao nhiên liệu hao thế nhi,negative
skoda,slavia,style,2025,sedan,"Sao cứ phải là Turbo nhỉ. Đã là hạng B thì cứ đơn giản, thực dụng là đc mà",negative
mg,zs,luxury,2025,suv,"Cửa sổ trời panorama, thoáng mát, chụp ảnh đẹp",positive
huyndai,accent,,2024,sedan,đẹp quá a ơi,positive
toyota,corolla cross,v,2024,suv,Thiết kế già và xấu hơn HRV-RS,negative
skoda,kushaq,style,2025,suv,"Bạn bình luận có lý. Nhưng quên chưa đánh giá 1 điều là Hãng đã nghiên cứu kỹ thị trường rồi quất 1 cái giá mà tôi nghĩ là phù hợp, biết mình biết người. Không báo giá ảo để rồi giảm giá sâu đâu. Tôi dự đoán biên độ không đến 100tr đâu trừ khi date sâu. Skoda chất lượng tốt phải nói là nhất trong PK đấy. Xe tàu thì không có cửa về chất lượng mà so sánh.",positive
omoda,c5,,2024,suv,Con này bản full tầm 650 quay đầu thì có cửa chứ hơn k bán đc. 700 trở lên thiếu gì xe để chọn,negative
byd,sealion 6,,2025,suv,Không ngon như quảng cáo đâu,negative
skoda,slavia,style,2025,sedan,Mình rất thích con này nhưng vẫn còn e dè vì động cơ tu pô thì chắc là không bền như động cơ hút khí tự nhiên,negative
skoda,slavia,style,2025,sedan,nhìn đẹp quá,positive
byd,seal 5,dm-i,2025,sedan,"xe mạnh bốc, động cơ xăng vận hành ít nên bảo dưỡng trả có mẹ gì. pin xe điện cứ nhìn con pin tàu của vin chay trên 300.000km vẫn chạy phà phà trả phải bảo dưỡng mẹ gì",positive
geely,coolray,flagship,2025,suv,"Lái thử đợt showroom Giải Phóng mới mở, cấn mỗi cửa gió điều hòa ghế sau và cột A hơi khuất.",negative
hyundai,creta,n line,2025,suv,Giá này có turbo mới ăn thua ko thì yaris cx5 thẳng tiến.,negative
skoda,slavia,ambiton,2025,sedan,"nhìn giá và option mới thấy bọn xe hàn, nhật nó cắn hơi sâu",positive
vinfast,vf 6,plus,2025,suv,vF6 bản plus giá vậy thấy ngon rồi.,positive
omoda,c5,,2024,suv,"Nội thất đẹp phết nhỉ, giá cũng ok. Nhưng mà k thấy chạy ngoài đường mấy",positive
mazda,cx-3,1.5 at,2025,suv,"Cx3 vs cx30 là 2 chiếc xe nhà mazda bị chê nhiều nhất, nhưng thực tế thì những ai đang sử dụng đều khen và rất hài lòng. Còn những người chê thì lại là đi xe máy",positive
mg,zs,luxury,2025,suv,"Xe Tàu nhưng nội thất da mềm, nhìn không rẻ tiền",positive
skoda,slavia,style,2025,sedan,"Con Slavia này có khá nhiều điểm tương đồng với con Nissan Almera mà mình đang đi. Cũng máy 1.0 turbo nhưng ko hề thấy nó yếu, mà còn rất tiết kiệm nhiên liệu nữa. Mua xe cho mình nên cảm thấy phù hợp với nhu cầu, tài chính và mục đích sử dụng là đc chứ ko nên quan tâm tới những nhận xét của người khác.",positive
byd,atto 3,,2024,suv,"Atto3 đẹp, lái rất ngon so với tầm giá. Xạc 7kw tại nhà rất tiện lợi, pin 30% lên 100% 6 tiếng .",positive
toyota,yaris cross,máy xăng,2024,suv,Nên trang bị hộp số AT,negative
huyndai,accent,,2024,sedan,"Bản cao thôi, bản MT thì nội thất hơi buồn xíu, nhưng bên ngoài đẹp thật sự",positive
haval,jolian,,2025,suv,"PHEV có viên pin to chà bá tất nhiên phải hơn nhiều HEV chứ, nhất là ông nào chỉ chạy trong phố thì không khác gì xe điện, như con Byd chạy dc 100km thuần điện thì chắc chẳng mấy ai thường xuyên chạy quá quãng đường đó trong 1 ngày, đêm về cắm sạc sáng mai lại đi",positive
vinfast,vf 6,,2024,suv,"Sao mà so được byd, chưa kể xe V hay bị đieen",negative
toyota,corolla cross,v,2024,suv,"tôi thích cx5 vì nó đẹp,  hộp số 6 cấp và hệ treo đa liên kết,  còn nếu các cụ muốn bền bỉ thì chọn Crocs nè. chứ.  2 con này cũng 19110",positive
byd,atto 2,,2025,suv,"xe gần 700tr mà không có cửa gió hàng 2, đúng là xe TQ thiết kế cho thị trường TQ chứ không phải dành cho thị trường VN.",negative
honda,city,1.5 rs,2024,sedan,"Giá cao hơn mặt bằng chung pk B là rào cản lớn nhất của city. Nhưng giờ đây down về ngang = pk, thì ko có bất cứ lý do gì lại bỏ qua .",positive
skoda,slavia,ambiton,2025,sedan,Giá này khỏi phàn nàn rồi,positive
mg,5,std,2024,sedan,MG5 STD thêm KM vào lăn bánh có 500tr tội gì mà ko mua hihi,positive
mg,5,std,2024,sedan,Tầm giá thế nói thật xe mới quá ok,positive
kia,seltos,facelift,2024,suv,1.6 với 121 mã của đọng cơ cũ sẽ êm hơn nhiều. Hộp số 6 cấp ngon hơn CVT. Giá bản mới mắc wa,negative
huyndai,accent,,2024,sedan,Đuôi đẹp mà nhìn nhơ volvo,positive
skoda,kushaq,style,2025,suv,Xe này mà giá tầm 450 lăn bánh thì ngon,negative
huyndai,accent,,2024,sedan,Nội thất đẹp mà ngoại thất vẫn thích fom cũ hơn,neutral
vinfast,vf 6,plus,2025,suv,"Rất mê vf6,vf7 thấy bạn chia sẻ mình có niềm tin để mua xe.",positive
geely,coolray,flagship,2025,suv,"""Có một tình trạng là chúng ta không phải lo chiếc xe có đuối hay không""
 Thật sự bài review này có quá nhiều câu nói tối nghĩa hoặc nói chỉ để cho có. Đề nghị lần sau bạn host có sự chuẩn bị về nội dung trước khi review.
 Còn về kích thước cứ nói thua thiệt nhiều nhưng nó ngắn hơn con Seltos có 3,5cm, rộng bằng, trục cơ sở ngắn hơn 1cm thì không hiểu nhiều ở chỗ nào? So với mấy con B như Kona vẫn dài hơn hay B thời kỳ trc như Ecosport vẫn dài, rộng hơn.",neutral
haval,jolian,,2025,suv,H6 còn tồn xe tận 2023 xả còn không nổi. Con này lấy gì để bán chạy,negative
skoda,kushaq,style,2025,suv,"Đã lái thử em này có 1 số nhận xét và góp ý với hãng để cân nhắc tốt hơn cho sản phẩm: 
 1. Việc đi trong phố mình đánh giá là ổn cho việc tăng tốc và cảm giác lái (chưa thử cảm giác lái xe ở tốc độ cao trên cao tốc), hộp số đôi khi còn hơi giật ở tốc độ thấp nhưng quá ổn trong phân khúc và với kiểu AT lái thích hơn các hộp số CVT đã chạy thử.
 Nhưng góp ý:
 1. Camera lùi có chất lượng hơi kém nên cải thiện, nhìn thiếu sắc nét và tối
 2. Góc nhìn ở 2 bên cột A phía trước nên cải thiện (nếu bố trí được như em Kodiaq có 2 hốc trong), điều này mình thấy rất cần thiết ở VN do nhiều giao cắt và xe hay tạt đầu nhiều hoặc băng cắt từ trong ngõ ra, có chỗ này thì sẽ cải thiện hơn rất nhiều.
 3. Trên bản Style cái hộc đựng kính mình có nghịch 1 thời gian mà không mở ra được, không rõ do bị kẹt hay không bố trí. Cái này nhỏ nhưng đôi khi có cũng khá tiện.",negative
toyota,corolla cross,v,2024,suv,"Mình vừa lấy xe hôm 7/1 , mình mới mua xe lần đầu ban đầu cũng khá phân vân cx5 và nissan kick tuy nhiên khi lên showroom toy thì mình chỉ còn cross trong đầu vì xe quá đẹp",positive
mazda,2,at,2025,sedan,"Phanh đĩa 4 bánh, máy 1.5 6At. Tiết kiệm xăng- bốc. Giá như vậy còn đòi hỏi j hơn nữa ae. Nó có bí bách thật nhưng xe cỡ nhỏ vẫn là chấp nhận được. Năm 2022 nhập thái bản At lăn bánh 500tr và form đó mình thấy đẹp hơn hiện tại",positive
nissan,kicks,e-powers,2025,suv,"Nissan ế ko phải hoàn toàn do xe mà là do đại lí vs dịch vụ, đặt hàng không có sẵn mà phải chờ, linh kiện thay thế sửa chữa thì đắt… xe thiết kế xấu chỉ là 1 phần thôi chứ như hyundai stargazer còn xấu hơn vẫn bán được mà",negative
toyota,yaris cross,máy xăng,2024,suv,"Mới đi chạy thử ngày thứ 2/7/10/2024, mình thì có = lái 15 năm, từng đi Huynhdai, Mazda, Audi và Porche ( 2 dòng xe sang này mình lái thuê cho chủ), theo cảm nhận của mình thì xe êm ái, lanh lẹ, nhiều option, có trang bị an toàn rất nhiều, cách âm tốt, thậm chí cách âm còn tốt hơn con Audi A5 mình lái, xe ko bốc, đi bình thường rất ổn, mình thật sự sock khi đọc bình luận rất nhiều người chê, mình ko biết tại sao, vì theo kinh nghiệm của mình xe đi ổn, ko biết mọi người chê thì có đi thử chưa, mình mới đặt cọc hôm nay vì bên đại lý có giảm thêm 10 tr do có 1 anh giới thiệu, thật sự là ko nên nói linh tinh nếu ko đi thử.",positive
mg,zs,luxury,2024,suv,"Xe tau nôi đia rat tot,chang qua tien viet mat gia ko co gia tri lên cam 1ty cung chi mua đc xe phô thông.",positive
kia,seltos,,2024,suv,"Xe đẹp quá , chọn glc200 thôi",positive
honda,city,1.5 rs,2025,sedan,Ngồi cty ồn lắm. Tiếng máy dội vào kêu khá to,negative
huyndai,accent,,2024,sedan,Phải nói là phong cách thiết kế của lux a với lux sa nó lại rất hợp với nhiều năm về sau,positive
byd,atto 3,,2024,suv,"Nếu có trạm sạc phủ như Vin,show room nhiều như lợn con thì t sẻ all in nó",negative
byd,atto 3,,2024,suv,"Con này mà giá 611tr thì chắc bác V nghĩ làm xe luôn . Nói thật tôi không hiểu bác V nghĩ gì trong đầu, trong khi xe ở VN thì bán giá trên trời rồi đem qua xứ Mỹ quốc cho thuê rẻ ôi luôn, VF8 plus ở VN bán tỏi rưởi, qua Mễ cho thuê 300 đô/tháng (có đợt khuyến mãi còn có 249 đô). Đúng đầu ốc tỷ phú luôn! Ở VN cho thuê giá đó xem có sản xuất kịp để giao xe không",positive
vinfast,vf 6,plus,2025,suv,Ko biết ae cảm nhận như nào chứ em thấy ghế con VF 6 này ngồi phải nói là khó chịu vô cùng :(,negative
vinfast,vf 6,plus,2025,suv,vô lăng nhỏ tôi bọc thêm bọc vô lăng nữa là rất vừa vặn nhé.,neutral
vinfast,vf 6,plus,2025,suv,"Nhược điểm vf6 plus anh em nên suy nghĩ kỹ khi mua : ghế hàng sau nhỏ, dựng đứng, hệ thống phuộc nhúng dở tệ đi xa rất là mệt, cột A phía trước rất to điểm mù rất nhiều, nội thất nhàm chán. Xe mà 4 người lớn ngồi là cực kỳ chật",negative
toyota,vios,,2025,sedan,"để nguyên form dáng, khung gầm, máy của toyota 2021 thêm trang bị là ổn, chứ chuyển sang daihatsu thì khá là e ngại",negative
huyndai,accent,,2024,sedan,Accent này mình thấy đầu giống stargetzer . Nói chung theo thẩm mỹ mình thấy xấu.,negative
mg,5,luxury,2025,sedan,"Nhìn cứ như xe tiền tỉ ý nhỉ, mg5 với mg7 công nhận thiết kế đẹp",positive
honda,city,1.5 rs,2025,sedan,Honda nói về lái thì quá ok,positive
nissan,almera,,2025,sedan,"hộp số cvt nissan cực kỳ tệ, có thể nói là tệ nhất trong các hãng xe Nhật",negative
geely,coolray,flagship,2025,suv,Sau bao ngày tháng cày view cho các bác thì hôm qua em đã chốt bản flaship cho xe lần đầu của mình!,positive
huyndai,accent,,2024,sedan,Xe nhin như thấp niên trước vậy,neutral
honda,city,1.5 rs,2025,sedan,"City mới quá ok, nội thất nhìn ngon lun rồi",positive
nissan,kicks,e-powers,2025,suv,"đẹp mê, đẹp hơn xforce chứ. ngang giá thì quá ok",neutral
huyndai,accent,,2024,sedan,"ghét nhất quả vô lăng 2 chấu, còn lại ko có gì để chê",positive
geely,coolray,flagship,2025,suv,"Nội thất tối màu, dễ sạch sẽ.",positive
hyundai,creta,n line,2025,suv,"Dân Việt năm nay chưa đói ăn đã là may còn tiền thừa đâu mà mua con này ... giá v sao so vs yaris được chưa kể cx5 vs terri đag sale mạnh đu theo trend dân việt bị bóp thuế ...thời điểm này xem xe thôi chứ sang năm con này kiểu gì chả sale đầu 6xx""",negative
nissan,kicks,e-powers,2025,suv,Bản mới nhìn mê thiệt,positive
nissan,kicks,e-powers,2025,suv,"loa đã thiết kế thì người ta ko để bị ù đâu :). do bác chưa bao giờ trải nghiệm âm thanh trên oto nên nghĩ loa gần tai thì nó sẽ ""ồn"" hơn. Ko hề, cái loa tốt là cái loa nghe to hay nhỏ gì đi nữa, nghe cả ngày cũng ko thấy mệt.",positive
mazda,2,at,2025,sedan,"Xe bé tí, chật chội.",negative
nissan,almera,,2025,sedan,"Mình dùng city, mới lái thử amera, nếu không vì đại lý bảo dưỡng quá xa thì mình chọn amera",neutral
mg,zs,std,2024,suv,"Mình đang sống và làm việc ở ả rập , bản thân cũng đang sử dụng xe trung quốc , mình thấy ổn … và mình cũng co nhưng người bạn bản địa dung mg zs , 6 năm rồi và xe đã vượt hơn 200k km vẫn chưa có vấn đề gì cả , chỉ bảo dưỡng định kì thôi",positive
toyota,yaris cross,máy xăng,2024,suv,"Mạnh mẽ cũng là một tính năng an toàn, đặc biệt khi vượt xe cần có sự dứt khoát. Tính năng an toàn trên một chiếc xe rất quan trọng. Tôi chọn Toyota Yaris Cross: An toàn, tiết kiệm, giữ giá tốt",positive
honda,city,1.5 rs,2024,sedan,Mình lấy Honda City RS tháng 3 năm 2024 đến nay thấy đáng đồng tiền,positive
byd,sealion 6,,2025,suv,Sealion 6 với Link & Co cứ hao hao Porsche nhỉ. Mà công nhịn nhìn khá mướt mắt,positive
skoda,kushaq,style,2025,suv,Thấy ngoại hình xe này bt mà đâu đến nỗi ko chấp nhận đc phụ nữ bước ra. Nhất là màu đỏ,neutral
nissan,almera,,2025,sedan,Đang đi nissan almera 3 năm nay quá hài lòng. Dòng xe trước màu đen phối với màu kem be thay vì xanh tím than như bản mới nha,positive
vinfast,vf 6,eco,2025,suv,Tiếng ve đó là tiếng máy nén ak,neutral
skoda,slavia,style,2025,sedan,Ngọn bổ rẻ,positive
huyndai,accent,,2024,sedan,"Êm, đẹp, nhìn phần đầu hơi giống xe điện.",positive
vinfast,vf 6,eco,2025,suv,Cắt options thì giá giảm chứ giảm giá gì,negative
mazda,2,at,2025,sedan,Phí tiền hoi chat,negative
mazda,cx-3,1.5 premium,2025,suv,Ghế sau hơi đứng,negative
toyota,vios,,2025,sedan,Gầm cao một tý nữa thì quá ok.,neutral
skoda,kushaq,style,2025,suv,"Xforce, Yaris Cross chỉ đạt 4-5 sao ASEAN NCAP làm sao mà bằng được 5 sao GLOBAL NCAP của kushaq",positive
nissan,almera,,2024,sedan,"xe ngon chất lượng trên giá thành là quá tốt, bỏ tiền phải bỏ cho đáng với công sức mình bỏ ra chứ, mua mấy xe chất lượng bên trong cao như này,tiết kiệm như xe máy,lái ngon ,treo ngon trong tầm giá nhất rôi. ai đi mua mấy cái xe chỉ có mỗi nước sơn đẹp , chất gỗ thì kém",positive
mg,zs,luxury,2024,suv,"Mình đang dùng mgzs STD chạy sướng, trong tầm tiền ko có xe nào qua đc",positive
vinfast,vf 6,eco,2025,suv,"Mình trước từng chạy vf6S chạy tây bắc. Tháng chạy 2 lần. Hà nội - sơn la- điện biên - lai châu- sapa- hà nội. Chạy phê lắm. Máy khoẻ đạp cái là vượt xe to bt. Treo mình thấy êm và ổn ( xe công ty nên qua chỗ xấu vẫn phi ). Treo trước mà vào chỗ hơi gắt là hay kêu lục cục. Xe thì chạy nhanh cách âm hơi kém. Bản eco này còn cắt bọc da vô lăng, đèn tự động, gạt mưa tự động. Hơi tiếc",negative
skoda,slavia,style,2025,sedan,Doanh số sẽ thua vios và city hoặc ngang. Xe tốt giá tốt ngoại hình tốt,positive
honda,city,1.5 rs,2025,sedan,"chờ bản này về thôi , ngon",positive
vinfast,vf 6,eco,2025,suv,"Chẳng hiểu sao. Tay nắm cửa hãng lại làm tại vị trí , phải dùng nhiều lực hơn mới đóng cửa được. Khác biệt nhưng mình thấy cái này là điểm trừ. Mà thấy cũng ít người nói về vấn đề này",negative
vinfast,vf 6,,2024,suv,"Thằng em cạnh nhà mới mua, ra biển tổng 740tr. Hàng sau ngồi chật, ghế ngả hết tầm nhìn vẫn đứng lưng, ko ổn. Đc cái cửa đóng chắc chắn, đi kinh tế hơn xe xăng.",positive
kia,seltos,facelift,2024,suv,"Tin tôi đi, chạy Normal (Standard) mode nó tiết kiệm xăng hơn ECO mode đó. Khi mình đạp lên tới đúng tốc độ sớm mình nhả ga thả trớn nó ít hao xăng hơn khi bị trễ ga và đạp rất lâu mới lên đúng đc tốc độ, khi đó tốn nhiều nhiên liệu hơn.",positive
haval,jolian,,2025,suv,Con haval tuổi so với cx5 nha mấy ông bót phé ít thôi,negative
byd,atto 2,,2025,suv,Công nhận đẹp... Bắt mắt hơn xe Vin...,positive
toyota,vios,,2025,sedan,Vios đúng kiểu mẫu xe ăn chắc mặc bền rùi,positive
mitsubishi,attrage,cvt,2024,sedan,thấy cùi cùi vậy chứ chỉnh loa bass cũng ok lắm,positive
toyota,corolla cross,v,2024,suv,"Những ai mua xe lần đầu sẽ hay bị phân vân bởi option và những thứ trên mạng nói. Còn mình lấy bản V tháng 11, sau khi đi 1 chiếc sedan đc 6 năm thì với mình đơn giản chiếc xe này có đc cái ngta vẫn nói là giá trị cốt lõi. Cảm giác lái, cách âm ở mức cần, điều hoà mát sâu. Ghét mỗi cái trần kính. Hệ thống adas ngon, bảo trì bảo dưỡng rẻ, 1 chiếc xe chỉ cần thế là đủ. Hơn nữa riêng chuyện nhập Thái cũng là điểm + lớn rồi, 4 lốp mit quá ngon",positive
vinfast,vf 6,eco,2025,suv,Vf6 bên châu âu thấp nhất 900 tr,neutral
skoda,kushaq,style,2025,suv,Bên Đức Frankfurt nhiều người dân chạy chạy xe này,positive
vinfast,vf 6,plus,2025,suv,"VF6 đẹp, hài hoà cho người trẻ và có gia đình nhỏ! Kinh tế nhất thì vẫn là VF5, nhưng có hơn 1 xíu thì lên VF6 nhìn trường xe và đẹp hơn rất nhiều!",positive
byd,atto 3,,2024,suv,"Con Atto 3 bên ngoài nhìn như xe sang hơn tỉ của Nhật . Ai có tiền thì cứ quất Atto 3 , còn ai chạy dv thì quất VF6.",positive
kia,seltos,facelift,2024,suv,"8.7l/100km trong phố thì rõ ràng k tiết kiệm rồi, HR-V của mình máy turbo 172 mã cũng tầm đó hoặc ít hơn",negative
geely,coolray,flagship,2025,suv,"Sạc nhanh Type-C, tiện dụng.",positive
skoda,kushaq,style,2025,suv,Giá xe này chó nó mua,negative
skoda,slavia,ambiton,2025,sedan,mẫu này cho ae dịch vụ khỏi bàn,positive
toyota,vios,,2025,sedan,Chiếc xe tiếp theo mình đổi để làm dịch vụ chắc chắn sẽ là vios.quá tuyệt vời,positive
byd,atto 3,,2024,suv,Mua xe này ngại nhất vụ sạc pin. Nhà ko có chỗ đô xe chứ nhìn ngoài rất đẹp,negative
skoda,kushaq,style,2025,suv,"Xe nay chi dành riêng cho thị trường ấn độ, cấu hình xe cũng không nỗi trội, bảo hành bảo giưỡng đại lý khiêm tốn , phụ tùng châu âu giá cả không rẽ, cùng phân khúc khó cạnh tranh đuoc voi xe nhật",negative
huyndai,accent,,2024,sedan,"Nói riêng về thiết kế Accent 2021 đẹp nhất phân khúc này, còn bản 2024 ko hợp mắt lắm. Còn nói về động cơ thì City ăn chặt rồi",negative
honda,hr-v,g,2025,suv,"Ko hiểu nổi bọn HD này nghĩ gì, cái gồ ghế hàng sau ko có tác dụng gì và làm ngta ghét nhất mà cứ giữ lại.",negative
